         TOF        Yobs       sYobs       Ycalc
     3001.59    40409.00      462.00    40368.00
     3003.09    40171.00      460.00    40063.00
     3004.59    39733.00      458.00    39707.00
     3006.09    40298.00      461.00    39351.00
     3007.61    38819.00      448.00    38987.00
     3009.12    38942.00      453.00    38637.00
     3010.62    38306.00      449.00    38316.00
     3012.12    38442.00      450.00    38018.00
     3013.62    38070.00      448.00    37749.00
     3015.13    37216.00      442.00    37511.00
     3016.64    37001.00      437.00    37309.00
     3018.16    37438.00      444.00    37161.00
     3019.66    36985.00      441.00    37084.00
     3021.16    37118.00      442.00    37091.00
     3022.68    36855.00      436.00    37191.00
     3024.19    37301.00      443.00    37393.00
     3025.71    37670.00      440.00    37698.00
     3027.22    38558.00      450.00    38087.00
     3028.72    38899.00      452.00    38531.00
     3030.24    39307.00      450.00    39029.00
     3031.76    39472.00      455.00    39554.00
     3033.27    40347.00      456.00    40095.00
     3034.79    41478.00      467.00    40659.00
     3036.30    41536.00      463.00    41240.00
     3037.84    42168.00      466.00    41844.00
     3039.35    42534.00      473.00    42455.00
     3040.87    43794.00      475.00    43072.00
     3042.38    44285.00      483.00    43689.00
     3043.90    44397.00      479.00    44304.00
     3045.43    44924.00      482.00    44917.00
     3046.96    45975.00      487.00    45517.00
     3048.48    46634.00      496.00    46077.00
     3050.00    46261.00      489.00    46568.00
     3051.53    47338.00      495.00    46936.00
     3053.06    47208.00      494.00    47115.00
     3054.59    47264.00      494.00    47051.00
     3056.11    47061.00      498.00    46720.00
     3057.62    45929.00      487.00    46137.00
     3059.15    44363.00      478.00    45337.00
     3060.68    43790.00      475.00    44418.00
     3062.22    43129.00      471.00    43462.00
     3063.75    42252.00      466.00    42554.00
     3065.28    41354.00      461.00    41773.00
     3066.81    41498.00      462.00    41170.00
     3068.34    40488.00      456.00    40763.00
     3069.87    40047.00      454.00    40542.00
     3071.42    39894.00      448.00    40458.00
     3072.97    39983.00      453.00    40437.00
     3074.50    39788.00      452.00    40401.00
     3076.03    38959.00      447.00    40286.00
     3077.56    39517.00      451.00    40072.00
     3079.11    39817.00      448.00    39769.00
     3080.65    38737.00      446.00    39430.00
     3082.18    39101.00      448.00    39123.00
     3083.73    38830.00      442.00    38900.00
     3085.28    38391.00      444.00    38831.00
     3086.81    39115.00      448.00    38945.00
     3088.36    38824.00      442.00    39266.00
     3089.90    38837.00      446.00    39787.00
     3091.45    39681.00      447.00    40472.00
     3093.00    40474.00      456.00    41245.00
     3094.54    41851.00      459.00    42007.00
     3096.09    42396.00      467.00    42645.00
     3097.64    42686.00      464.00    43074.00
     3099.18    43030.00      470.00    43258.00
     3100.73    42344.00      462.00    43227.00
     3102.27    42401.00      467.00    43057.00
     3103.82    41337.00      456.00    42846.00
     3105.38    42432.00      462.00    42674.00
     3106.95    42473.00      463.00    42585.00
     3108.49    41961.00      464.00    42569.00
